xlat,xlong,wsp_avg_150.0,xland_avg,wsp_max_150.0,xland_max,wsp_min_150.0,xland_min,wsp_stddev_150.0,xland_stddev
54.156300,-2.770416,8.2388402695,1.0,28.571149,1,0.086159,1,4.71245649262481,0.0
55.561474,3.373444,10.4070688077,2.0,33.345562,2,0.154407,2,4.983554892959703,0.0
56.142246,-2.629883,9.4772236041,2.0,42.190025,2,0.064093,2,4.730157846761659,0.0
56.300224,-2.496552,9.3552231730,2.0,38.858557,2,0.228624,2,4.499244932948804,0.0
54.306828,-1.677856,8.3373448035,1.0,31.989593,1,0.055574,1,4.438283441903825,0.0
54.329510,-1.927216,9.5155069853,1.0,30.376361,1,0.125487,1,4.830385367666977,0.0
55.262402,2.533936,10.3349474992,2.0,32.774514,2,0.125963,2,4.999359056312912,0.0
55.381180,3.520691,10.4359865526,2.0,32.188491,2,0.068457,2,4.960277367511198,0.0
56.348328,4.194458,10.5211031444,2.0,37.422275,2,0.242801,2,4.952817538338244,0.0
56.919903,3.133270,10.4849953365,2.0,38.142741,2,0.295518,2,5.0940697287465735,0.0
55.234787,2.250702,10.2982374976,2.0,33.600274,2,0.303015,2,5.00216052444819,0.0
55.296677,-3.060455,9.4505348418,1.0,32.839051,1,0.070089,1,4.438941789622125,0.0
55.789570,0.154663,10.3106209411,2.0,37.299847,2,0.103889,2,4.902637039870944,0.0
55.221851,2.982605,10.3786152766,2.0,32.014387,2,0.097465,2,4.967413287093905,0.0
56.491886,-3.953064,10.5006180640,1.0,35.298926,1,0.239126,1,5.241325474457233,0.0
55.125813,3.445190,10.4565702947,2.0,34.161207,2,0.073079,2,4.952384460168149,0.0
55.402302,1.711517,10.2968218785,2.0,33.647571,2,0.101933,2,4.992803285944962,0.0
54.367699,-0.548676,9.4811858023,1.0,28.020354,1,0.077655,1,4.339299532958273,0.0
55.142735,-2.551239,9.4574894403,1.0,30.817146,1,0.099248,1,4.653006765662614,0.0
55.711433,-1.203064,9.7928045280,2.0,37.270869,2,0.236212,2,4.625247362907608,0.0
56.311577,2.513275,10.3782482527,2.0,38.732487,2,0.181908,2,5.114231988866134,0.0
56.451771,-4.036041,10.0249421697,1.0,34.062623,1,0.061105,1,4.7868286444146975,0.0
54.986057,-1.410736,8.3771475927,1.0,28.268197,1,0.185458,1,3.8427067749967394,0.0
55.905209,-3.529938,8.7151618404,1.0,37.184652,1,0.041693,1,4.489696801430517,0.0
54.191647,-1.489258,7.6582996070,1.0,30.347184,1,0.154559,1,4.019878339380242,0.0
55.571442,2.294617,10.3269032234,2.0,35.063701,2,0.241923,2,5.053758838915445,0.0
55.768974,3.855042,10.4455960678,2.0,33.732691,2,0.073308,2,4.964554878865409,0.0
56.197273,1.901733,10.3665759375,2.0,39.626322,2,0.246549,2,5.128137130983828,0.0
56.251263,-0.664825,10.4389542657,2.0,39.967362,2,0.307230,2,4.919709692106552,0.0
54.501804,-3.109192,9.6588705863,1.0,28.996233,1,0.019858,1,4.710278603959815,0.0
54.574226,1.490479,10.2081056880,2.0,31.127087,2,0.212712,2,4.963717133301471,0.0
